"File","Valid","Number of tokens","Coverage","Number of errors","Errors","Number of warnings","Warnings"
"ALTL1.CPY","true","13","100.0","0","","0",""
"ALTLB.CPY","true","13","100.0","0","","0",""
"CM101M.CBL","true","3228","99.31847","0","","0",""
"CM102M.CBL","true","4415","99.5017","0","","0",""
"CM103M.CBL","true","1476","98.50948","0","","0",""
"CM104M.CBL","true","1802","98.77914","0","","0",""
"CM105M.CBL","true","2336","99.05822","0","","0",""
"CM201M.CBL","true","377","87.002655","0","","0",""
"CM202M.CBL","true","3077","98.40754","0","","0",""
"CM303M.CBL","true","78","100.0","0","","0",""
"CM401M.CBL","true","160","100.0","0","","0",""
"DB101A.CBL","true","3335","98.380806","0","","0",""
"DB102A.CBL","true","3037","98.22193","0","","0",""
"DB103M.CBL","true","3024","98.21429","0","","0",""
"DB104A.CBL","true","3491","98.59639","0","","0",""
"DB105A.CBL","true","7542","98.91276","0","","0",""
"DB201A.CBL","true","6126","99.19987","0","","0",""
"DB202A.CBL","true","3763","98.697845","0","","0",""
"DB203A.CBL","true","3728","98.68562","0","","0",""
"DB204A.CBL","true","2617","98.127625","0","","0",""
"DB205A.CBL","true","2749","98.21754","0","","0",""
"DB301M.CBL","true","90","100.0","0","","0",""
"DB302M.CBL","true","89","100.0","0","","0",""
"DB303M.CBL","true","101","100.0","0","","0",""
"DB304M.CBL","true","82","100.0","0","","0",""
"DB305M.CBL","true","90","100.0","0","","0",""
"EXEC85.CBL","true","6293","99.95233","0","","0",""
"IC101A.CBL","true","1889","100.0","0","","0",""
"IC102A.CBL","true","100","100.0","0","","0",""
"IC103A.CBL","true","2313","100.0","0","","0",""
"IC104A.CBL","true","182","100.0","0","","0",""
"IC105A.CBL","true","138","100.0","0","","0",""
"IC106A.CBL","true","2451","100.0","0","","0",""
"IC107A.CBL","true","314","98.72611","0","","0",""
"IC108A.CBL","true","2133","100.0","0","","0",""
"IC109A.CBL","true","175","100.0","0","","0",""
"IC110A.CBL","true","192","100.0","0","","0",""
"IC111A.CBL","true","140","100.0","0","","0",""
"IC112A.CBL","true","2595","100.0","0","","0",""
"IC113A.CBL","true","243","100.0","0","","0",""
"IC114A.CBL","true","2140","100.0","0","","0",""
"IC115A.CBL","true","829","100.0","0","","0",""
"IC116M.CBL","true","1735","100.0","0","","0",""
"IC117M.CBL","true","84","100.0","0","","0",""
"IC118M.CBL","true","71","100.0","0","","0",""
"IC201A.CBL","true","2903","100.0","0","","0",""
"IC202A.CBL","true","148","100.0","0","","0",""
"IC203A.CBL","true","2978","100.0","0","","0",""
"IC204A.CBL","true","171","100.0","0","","0",""
"IC205A.CBL","true","208","100.0","0","","0",""
"IC206A.CBL","true","110","100.0","0","","0",""
"IC207A.CBL","true","2314","100.0","0","","0",""
"IC208A.CBL","true","346","100.0","0","","0",""
"IC209A.CBL","true","1833","100.0","0","","0",""
"IC210A.CBL","true","115","100.0","0","","0",""
"IC211A.CBL","true","67","100.0","0","","0",""
"IC212A.CBL","true","67","100.0","0","","0",""
"IC213A.CBL","true","1792","100.0","0","","0",""
"IC214A.CBL","true","49","100.0","0","","0",""
"IC215A.CBL","true","66","100.0","0","","0",""
"IC216A.CBL","true","1771","100.0","0","","0",""
"IC217A.CBL","true","121","100.0","0","","0",""
"IC222A.CBL","true","3286","100.0","0","","0",""
"IC223A.CBL","true","3077","100.0","0","","0",""
"IC224A.CBL","true","2790","100.0","0","","0",""
"IC225A.CBL","true","3740","100.0","0","","0",""
"IC226A.CBL","true","1972","100.0","0","","0",""
"IC227A.CBL","true","3622","100.0","0","","0",""
"IC228A.CBL","true","1923","100.0","0","","0",""
"IC233A.CBL","true","2021","100.0","0","","0",""
"IC234A.CBL","true","1910","100.0","0","","0",""
"IC235A.CBL","true","2807","100.0","0","","0",""
"IC237A.CBL","true","1812","100.0","0","","0",""
"IC401M.CBL","true","156","100.0","0","","0",""
"IF101A.CBL","true","4142","100.0","0","","0",""
"IF102A.CBL","true","3043","100.0","0","","0",""
"IF103A.CBL","true","3890","100.0","0","","0",""
"IF104A.CBL","true","4222","100.0","0","","0",""
"IF105A.CBL","true","2443","99.795334","0","","0",""
"IF106A.CBL","true","4573","100.0","0","","0",""
"IF107A.CBL","true","1946","100.0","0","","0",""
"IF108A.CBL","true","2277","100.0","0","","0",""
"IF109A.CBL","true","2157","100.0","0","","0",""
"IF110A.CBL","true","2504","100.0","0","","0",""
"IF111A.CBL","true","3165","100.0","0","","0",""
"IF112A.CBL","true","2146","100.0","0","","0",""
"IF113A.CBL","true","2156","100.0","0","","0",""
"IF114A.CBL","true","3172","100.0","0","","0",""
"IF115A.CBL","true","2138","100.0","0","","0",""
"IF116A.CBL","true","4090","100.0","0","","0",""
"IF117A.CBL","true","4649","100.0","0","","0",""
"IF118A.CBL","true","2472","100.0","0","","0",""
"IF119A.CBL","true","3796","99.866165","0","","0",""
"IF120A.CBL","true","3418","100.0","0","","0",""
"IF121A.CBL","true","3368","100.0","0","","0",""
"IF122A.CBL","true","3364","100.0","0","","0",""
"IF123A.CBL","true","3834","99.86745","0","","0",""
"IF124A.CBL","true","3558","100.0","0","","0",""
"IF125A.CBL","true","3022","100.0","0","","0",""
"IF126A.CBL","true","3809","100.0","0","","0",""
"IF127A.CBL","true","2469","99.797485","0","","0",""
"IF128A.CBL","true","3095","99.83628","0","","0",""
"IF129A.CBL","true","2889","99.82413","0","","0",""
"IF130A.CBL","true","3971","100.0","0","","0",""
"IF131A.CBL","true","2602","100.0","0","","0",""
"IF132A.CBL","true","3164","100.0","0","","0",""
"IF133A.CBL","true","3234","100.0","0","","0",""
"IF134A.CBL","true","2496","100.0","0","","0",""
"IF135A.CBL","true","4699","100.0","0","","0",""
"IF136A.CBL","true","4125","100.0","0","","0",""
"IF137A.CBL","true","3524","100.0","0","","0",""
"IF138A.CBL","true","3285","100.0","0","","0",""
"IF139A.CBL","true","4549","100.0","0","","0",""
"IF140A.CBL","true","2475","100.0","0","","0",""
"IF141A.CBL","true","3438","100.0","0","","0",""
"IF142A.CBL","true","1866","100.0","0","","0",""
"IF401M.CBL","true","263","100.0","0","","0",""
"IF402M.CBL","true","457","100.0","0","","0",""
"IF403M.CBL","true","297","100.0","0","","0",""
"IX101A.CBL","true","2395","100.0","0","","0",""
"IX102A.CBL","true","2994","100.0","0","","0",""
"IX103A.CBL","true","3191","100.0","0","","0",""
"IX104A.CBL","true","3279","100.0","0","","0",""
"IX105A.CBL","true","3863","99.896454","0","","0",""
"IX106A.CBL","true","5495","98.9263","0","","0",""
"IX107A.CBL","true","4181","99.88041","0","","0",""
"IX108A.CBL","true","5369","100.0","0","","0",""
"IX109A.CBL","true","4202","100.0","0","","0",""
"IX110A.CBL","true","2638","100.0","0","","0",""
"IX111A.CBL","true","1964","100.0","0","","0",""
"IX112A.CBL","true","3657","100.0","0","","0",""
"IX113A.CBL","true","3253","100.0","0","","0",""
"IX114A.CBL","true","3092","100.0","0","","0",""
"IX115A.CBL","true","3087","100.0","0","","0",""
"IX116A.CBL","true","3088","100.0","0","","0",""
"IX117A.CBL","true","3087","100.0","0","","0",""
"IX118A.CBL","true","3095","100.0","0","","0",""
"IX119A.CBL","true","3165","100.0","0","","0",""
"IX120A.CBL","true","3035","100.0","0","","0",""
"IX121A.CBL","true","3305","100.0","0","","0",""
"IX201A.CBL","true","2389","100.0","0","","0",""
"IX202A.CBL","true","2990","100.0","0","","0",""
"IX203A.CBL","true","3155","100.0","0","","0",""
"IX204A.CBL","true","3283","100.0","0","","0",""
"IX205A.CBL","true","3933","99.87287","0","","0",""
"IX206A.CBL","true","3721","98.68173","0","","0",""
"IX207A.CBL","true","3919","98.902504","0","","0",""
"IX208A.CBL","true","5912","100.0","0","","0",""
"IX209A.CBL","true","9934","99.66781","0","","0",""
"IX210A.CBL","true","8439","99.54971","0","","0",""
"IX211A.CBL","true","4643","99.28925","0","","0",""
"IX212A.CBL","true","4395","98.47206","0","","0",""
"IX213A.CBL","true","4443","98.000916","0","","0",""
"IX214A.CBL","true","8334","99.54404","0","","0",""
"IX215A.CBL","true","12420","99.21095","0","","0",""
"IX216A.CBL","true","3408","100.0","0","","0",""
"IX217A.CBL","true","3137","100.0","0","","0",""
"IX218A.CBL","true","2255","100.0","0","","0",""
"IX301M.CBL","true","170","100.0","0","","0",""
"IX302M.CBL","true","160","98.75","0","","0",""
"IX401M.CBL","true","197","100.0","0","","0",""
"K101A.CPY","false","8","0.0","1","[3:25|PICTURE|3:31] Not all input was consumed.","0",""
"K1DAA.CPY","true","12","100.0","0","","0",""
"K1FDA.CPY","false","6","0.0","1","[2:18|RECORDS|2:24] Not all input was consumed.","0",""
"K1P01.CPY","true","1","100.0","0","","0",""
"K1PRA.CPY","true","5","100.0","0","","0",""
"K1PRB.CPY","true","15","100.0","0","","0",""
"K1PRC.CPY","true","7","100.0","0","","0",""
"K1SEA.CPY","true","28","100.0","0","","0",""
"K1W01.CPY","false","6","0.0","1","[2:28|9|2:28] Not all input was consumed.","0",""
"K1W02.CPY","false","7","0.0","1","[2:25|9|2:25] Not all input was consumed.","0",""
"K1W03.CPY","false","6","0.0","1","[2:22|9|2:22] Not all input was consumed.","0",""
"K1W04.CPY","true","14","100.0","0","","0",""
"K1WKA.CPY","true","10","100.0","0","","0",""
"K1WKB.CPY","true","21","100.0","0","","0",""
"K1WKC.CPY","true","20","100.0","0","","0",""
"K1WKY.CPY","true","7","100.0","0","","0",""
"K1WKZ.CPY","true","21","100.0","0","","0",""
"K2PRA.CPY","true","35","100.0","0","","0",""
"K2SEA.CPY","true","33","84.84849","0","","0",""
"K3FCA.CPY","true","18","100.0","0","","0",""
"K3FCB.CPY","true","12","100.0","0","","0",""
"K3IOA.CPY","false","6","0.0","1","[2:17|AREA|2:20] Not all input was consumed.","0",""
"K3IOB.CPY","false","7","0.0","1","[2:17|RECORD|2:22] Not all input was consumed.","0",""
"K3LGE.CPY","true","80","100.0","0","","0",""
"K3OCA.CPY","true","2","100.0","0","","0",""
"K3SCA.CPY","true","2","100.0","0","","0",""
"K3SML.CPY","true","1","100.0","0","","0",""
"K3SNA.CPY","true","4","100.0","0","","0",""
"K3SNB.CPY","false","9","0.0","1","[4:15|STATUS|4:20] Not all input was consumed.","0",""
"K4NTA.CPY","true","9","100.0","0","","0",""
"K501A.CPY","true","46","100.0","0","","0",""
"K501B.CPY","true","46","100.0","0","","0",""
"K5SDA.CPY","false","4","0.0","1","[2:17|RECORD|2:22] Not all input was consumed.","0",""
"K5SDB.CPY","false","4","0.0","1","[2:17|RECORD|2:22] Not all input was consumed.","0",""
"K6SCA.CPY","false","6","0.0","1","[2:22|SECTION|2:28] Not all input was consumed.","0",""
"K7SEA.CPY","true","6595","100.0","0","","0",""
"KK208A.CPY","true","5","100.0","0","","0",""
"KP001.CPY","true","22","100.0","0","","0",""
"KP002.CPY","true","30","100.0","0","","0",""
"KP003.CPY","true","29","100.0","0","","0",""
"KP004.CPY","false","31","0.0","1","[10:20|NOT|10:22] Not all input was consumed.","0",""
"KP005.CPY","true","5","100.0","0","","0",""
"KP006.CPY","true","5","100.0","0","","0",""
"KP007.CPY","true","8","100.0","0","","0",""
"KP008.CPY","true","8","100.0","0","","0",""
"KP009.CPY","true","4","100.0","0","","0",""
"KP010.CPY","true","1","100.0","0","","0",""
"KSM31.CPY","true","3","100.0","0","","0",""
"KSM41.CPY","true","3","100.0","0","","0",""
"NC101A.CBL","true","7542","100.0","0","","0",""
"NC102A.CBL","true","5948","100.0","0","","0",""
"NC103A.CBL","true","8495","100.0","0","","0",""
"NC104A.CBL","true","10389","100.0","0","","0",""
"NC105A.CBL","true","11626","100.0","0","","0",""
"NC106A.CBL","true","10322","100.0","0","","0",""
"NC107A.CBL","true","7592","100.0","0","","0",""
"NC108M.CBL","true","3099","99.61278","0","","0",""
"NC109M.CBL","true","4265","100.0","0","","0",""
"NC110M.CBL","true","121","100.0","0","","0",""
"NC111A.CBL","true","2304","100.0","0","","0",""
"NC112A.CBL","true","4094","100.0","0","","0",""
"NC113M.CBL","true","1171","100.0","0","","0",""
"NC114M.CBL","true","2282","99.78089","0","","0",""
"NC115A.CBL","true","4783","100.0","0","","0",""
"NC116A.CBL","true","6171","100.0","0","","0",""
"NC117A.CBL","true","5125","100.0","0","","0",""
"NC118A.CBL","true","4604","100.0","0","","0",""
"NC119A.CBL","true","5134","100.0","0","","0",""
"NC120A.CBL","true","4874","100.0","0","","0",""
"NC121M.CBL","true","5657","100.0","0","","0",""
"NC122A.CBL","true","4855","100.0","0","","0",""
"NC123A.CBL","true","5023","100.0","0","","0",""
"NC124A.CBL","true","8878","100.0","0","","0",""
"NC125A.CBL","true","3958","100.0","0","","0",""
"NC126A.CBL","true","10387","100.0","0","","0",""
"NC127A.CBL","true","1775","100.0","0","","0",""
"NC131A.CBL","true","2357","100.0","0","","0",""
"NC132A.CBL","true","3654","100.0","0","","0",""
"NC133A.CBL","true","3286","100.0","0","","0",""
"NC134A.CBL","true","3640","100.0","0","","0",""
"NC135A.CBL","true","2592","98.611115","0","","0",""
"NC136A.CBL","true","2368","100.0","0","","0",""
"NC137A.CBL","true","2441","100.0","0","","0",""
"NC138A.CBL","true","3099","100.0","0","","0",""
"NC139A.CBL","true","3136","100.0","0","","0",""
"NC140A.CBL","true","3515","92.88763","0","","0",""
"NC141A.CBL","true","2472","98.13916","0","","0",""
"NC170A.CBL","true","7817","100.0","0","","0",""
"NC171A.CBL","true","8186","100.0","0","","0",""
"NC172A.CBL","true","8097","100.0","0","","0",""
"NC173A.CBL","true","8118","100.0","0","","0",""
"NC174A.CBL","true","7330","99.2633","0","","0",""
"NC175A.CBL","true","8358","100.0","0","","0",""
"NC176A.CBL","true","9671","100.0","0","","0",""
"NC177A.CBL","true","8500","100.0","0","","0",""
"NC201A.CBL","true","10070","100.0","0","","0",""
"NC202A.CBL","true","9394","100.0","0","","0",""
"NC203A.CBL","true","6617","100.0","0","","0",""
"NC204M.CBL","true","5167","100.0","0","","0",""
"NC205A.CBL","true","2501","99.80008","0","","1","[47:39|)|47:39] Water in the working storage section."
"NC206A.CBL","true","7170","100.0","0","","0",""
"NC207A.CBL","true","11296","100.0","0","","0",""
"NC208A.CBL","true","5523","100.0","0","","0",""
"NC209A.CBL","true","4109","100.0","0","","0",""
"NC210A.CBL","true","3797","100.0","0","","0",""
"NC211A.CBL","true","7805","99.79487","0","","0",""
"NC214M.CBL","true","1976","99.74696","0","","0",""
"NC215A.CBL","true","2254","98.80053","0","","0",""
"NC216A.CBL","true","8031","100.0","0","","0",""
"NC217A.CBL","true","7551","100.0","0","","0",""
"NC218A.CBL","true","10300","100.0","0","","0",""
"NC219A.CBL","true","2215","99.05192","0","","0",""
"NC220M.CBL","true","4584","100.0","0","","0",""
"NC221A.CBL","true","4179","100.0","0","","0",""
"NC222A.CBL","true","2608","100.0","0","","0",""
"NC223A.CBL","true","7567","99.6564","0","","0",""
"NC224A.CBL","true","2913","100.0","0","","0",""
"NC225A.CBL","true","6790","100.0","0","","0",""
"NC231A.CBL","true","5109","100.0","0","","0",""
"NC232A.CBL","true","4183","100.0","0","","0",""
"NC233A.CBL","true","4315","100.0","0","","0",""
"NC234A.CBL","true","4274","100.0","0","","0",""
"NC235A.CBL","true","2800","100.0","0","","0",""
"NC236A.CBL","true","2901","100.0","0","","0",""
"NC237A.CBL","true","3250","98.46491","0","","0",""
"NC238A.CBL","true","3342","99.75889","0","","0",""
"NC239A.CBL","true","2636","100.0","0","","0",""
"NC240A.CBL","true","3251","100.0","0","","0",""
"NC241A.CBL","true","3178","100.0","0","","0",""
"NC242A.CBL","true","2826","100.0","0","","0",""
"NC243A.CBL","true","3682","100.0","0","","0",""
"NC244A.CBL","true","2597","99.18887","0","","0",""
"NC245A.CBL","true","2675","100.0","0","","0",""
"NC246A.CBL","true","5728","100.0","0","","0",""
"NC247A.CBL","true","3638","100.0","0","","0",""
"NC248A.CBL","true","2760","98.55073","0","","0",""
"NC250A.CBL","true","8661","100.0","0","","0",""
"NC251A.CBL","true","5895","100.0","0","","0",""
"NC252A.CBL","true","7573","100.0","0","","0",""
"NC253A.CBL","true","8299","100.0","0","","0",""
"NC254A.CBL","true","3480","98.534485","0","","0",""
"NC302M.CBL","true","85","81.17647","0","","0",""
"NC303M.CBL","true","58","77.192986","0","","0",""
"NC401M.CBL","true","921","97.8166","0","","1","[40:32|)|40:32] Water in the file section."
"OBIC1A.CBL","true","162","100.0","0","","0",""
"OBIC2A.CBL","true","1251","98.56115","0","","0",""
"OBIC3A.CBL","true","1754","100.0","0","","0",""
"OBNC1M.CBL","true","3463","96.563675","0","","1","[49:22|ENTRY|49:26] ENTRY in the water."
"OBNC2M.CBL","true","4794","98.037575","0","","0",""
"OBSQ1A.CBL","true","2794","100.0","0","","0",""
"OBSQ3A.CBL","true","3070","99.21645","0","","0",""
"OBSQ4A.CBL","true","2796","99.426315","0","","0",""
"OBSQ5A.CBL","true","3038","99.50478","0","","0",""
"RL101A.CBL","true","2331","100.0","0","","0",""
"RL102A.CBL","true","2897","100.0","0","","0",""
"RL103A.CBL","true","2979","100.0","0","","0",""
"RL104A.CBL","true","3084","100.0","0","","0",""
"RL105A.CBL","true","3073","100.0","0","","0",""
"RL106A.CBL","true","3790","99.89446","0","","0",""
"RL107A.CBL","true","3837","100.0","0","","0",""
"RL108A.CBL","true","2360","100.0","0","","0",""
"RL109A.CBL","true","2939","100.0","0","","0",""
"RL110A.CBL","true","3002","100.0","0","","0",""
"RL111A.CBL","true","4304","100.0","0","","0",""
"RL112A.CBL","true","3103","100.0","0","","0",""
"RL113A.CBL","true","3664","100.0","0","","0",""
"RL114A.CBL","true","3803","100.0","0","","0",""
"RL115A.CBL","true","3396","100.0","0","","0",""
"RL116A.CBL","true","2979","100.0","0","","0",""
"RL117A.CBL","true","2950","100.0","0","","0",""
"RL118A.CBL","true","2779","100.0","0","","0",""
"RL119A.CBL","true","2792","100.0","0","","0",""
"RL201A.CBL","true","2327","100.0","0","","0",""
"RL202A.CBL","true","2897","100.0","0","","0",""
"RL203A.CBL","true","2990","99.431435","0","","0",""
"RL204A.CBL","true","3094","100.0","0","","0",""
"RL205A.CBL","true","8966","99.810356","0","","0",""
"RL206A.CBL","true","2707","100.0","0","","0",""
"RL207A.CBL","true","4399","100.0","0","","0",""
"RL208A.CBL","true","3025","99.43802","0","","0",""
"RL209A.CBL","true","2398","100.0","0","","0",""
"RL210A.CBL","true","2515","100.0","0","","0",""
"RL211A.CBL","true","2729","100.0","0","","0",""
"RL212A.CBL","true","2327","100.0","0","","0",""
"RL213A.CBL","true","2426","100.0","0","","0",""
"RL301M.CBL","true","180","100.0","0","","0",""
"RL302M.CBL","true","169","98.81657","0","","0",""
"RL401M.CBL","true","186","96.21622","0","","0",""
"RW101A.CBL","true","2218","97.7908","0","","0",""
"RW102A.CBL","true","2001","97.55122","0","","0",""
"RW103A.CBL","true","2624","98.13262","0","","0",""
"RW104A.CBL","true","2687","98.17641","0","","0",""
"RW301M.CBL","true","179","96.62921","0","","0",""
"RW302M.CBL","true","179","96.62921","0","","0",""
"SG101A.CBL","true","10736","99.19896","0","","0",""
"SG102A.CBL","true","3005","94.24293","0","","1","[24:34|PERFORM|24:40] PERFORM in the water."
"SG103A.CBL","true","2373","96.11978","0","","2","[24:27|PERFORM|24:33] PERFORM in the water.
[24:40|GO|24:41] GO in the water."
"SG104A.CBL","true","2907","92.98245","0","","0",""
"SG105A.CBL","true","2907","92.98245","0","","0",""
"SG106A.CBL","true","2907","92.98245","0","","0",""
"SG201A.CBL","true","7486","96.48678","0","","2","[25:16|PERFORM|25:22] PERFORM in the water.
[25:28|GO|25:29] GO in the water."
"SG202A.CBL","true","2127","94.91765","0","","1","[27:30|PERFORM|27:36] PERFORM in the water."
"SG203A.CBL","true","3403","95.35704","0","","1","[24:39|PERFORM|24:45] PERFORM in the water."
"SG204A.CBL","true","4018","94.79841","0","","0",""
"SG302M.CBL","true","39","100.0","0","","0",""
"SG303M.CBL","true","56","94.64286","0","","0",""
"SG401M.CBL","true","56","94.64286","0","","0",""
"SM101A.CBL","false","101","0.0","1","[92:35|.|92:35] Not all input was consumed.","4","[59:62|COPY|59:65] Water in the file section.
[72:62|COPY|72:65] Water in the file section.
[81:62|COPY|81:65] Water in the working storage section.
[90:12|COPY|90:15] Water in the working storage section."
"SM102A.CBL","true","1943","100.0","0","","0",""
"SM103A.CBL","false","2094","0.0","1","[484:20|MOVE|484:23] Not all input was consumed.","3","[479:12|IF|479:13] IF not in if statement.
[480:12|COPY|480:15] COPY in the water.
[480:12|COPY|480:15] COPY not in copy statement."
"SM104A.CBL","true","2057","100.0","0","","0",""
"SM105A.CBL","true","2752","99.92732","0","","1","[59:62|COPY|59:65] Water in the file section."
"SM106A.CBL","true","13","100.0","0","","0",""
"SM107A.CBL","true","1625","100.0","0","","0",""
